Fra_dato;Til_dato;Mængde;Måleenhed;Kvalitet;Type
05-06-2024 16:00:00;05-06-2024 17:00:00;0,136;KWH;Målt;Tidsserie
05-06-2024 17:00:00;05-06-2024 18:00:00;0,084;KWH;Målt;Tidsserie
05-06-2024 18:00:00;05-06-2024 19:00:00;0,088;KWH;Målt;Tidsserie
05-06-2024 19:00:00;05-06-2024 20:00:00;0,106;KWH;Målt;Tidsserie
05-06-2024 20:00:00;05-06-2024 21:00:00;0,119;KWH;Målt;Tidsserie
05-06-2024 21:00:00;05-06-2024 22:00:00;0,085;KWH;Målt;Tidsserie
05-06-2024 22:00:00;05-06-2024 23:00:00;0,096;KWH;Målt;Tidsserie
05-06-2024 23:00:00;06-06-2024 00:00:00;0,079;KWH;Målt;Tidsserie
06-06-2024 00:00:00;06-06-2024 01:00:00;0,083;KWH;Målt;Tidsserie
06-06-2024 01:00:00;06-06-2024 02:00:00;0,097;KWH;Målt;Tidsserie
06-06-2024 02:00:00;06-06-2024 03:00:00;0,078;KWH;Målt;Tidsserie
06-06-2024 03:00:00;06-06-2024 04:00:00;0,091;KWH;Målt;Tidsserie
06-06-2024 04:00:00;06-06-2024 05:00:00;0,09;KWH;Målt;Tidsserie
06-06-2024 05:00:00;06-06-2024 06:00:00;0,086;KWH;Målt;Tidsserie
06-06-2024 06:00:00;06-06-2024 07:00:00;0,126;KWH;Målt;Tidsserie
06-06-2024 07:00:00;06-06-2024 08:00:00;0,088;KWH;Målt;Tidsserie
06-06-2024 08:00:00;06-06-2024 09:00:00;0,077;KWH;Målt;Tidsserie
06-06-2024 09:00:00;06-06-2024 10:00:00;0,088;KWH;Målt;Tidsserie
06-06-2024 10:00:00;06-06-2024 11:00:00;0,104;KWH;Målt;Tidsserie
06-06-2024 11:00:00;06-06-2024 12:00:00;0,126;KWH;Målt;Tidsserie
06-06-2024 12:00:00;06-06-2024 13:00:00;0,176;KWH;Målt;Tidsserie
06-06-2024 13:00:00;06-06-2024 14:00:00;0,174;KWH;Målt;Tidsserie
06-06-2024 14:00:00;06-06-2024 15:00:00;0,101;KWH;Målt;Tidsserie
06-06-2024 15:00:00;06-06-2024 16:00:00;0,183;KWH;Målt;Tidsserie
06-06-2024 16:00:00;06-06-2024 17:00:00;0,118;KWH;Målt;Tidsserie
06-06-2024 17:00:00;06-06-2024 18:00:00;0,835;KWH;Målt;Tidsserie
06-06-2024 18:00:00;06-06-2024 19:00:00;0,555;KWH;Målt;Tidsserie
06-06-2024 19:00:00;06-06-2024 20:00:00;0,114;KWH;Målt;Tidsserie
06-06-2024 20:00:00;06-06-2024 21:00:00;0,124;KWH;Målt;Tidsserie
06-06-2024 21:00:00;06-06-2024 22:00:00;0,156;KWH;Målt;Tidsserie
06-06-2024 22:00:00;06-06-2024 23:00:00;0,095;KWH;Målt;Tidsserie
06-06-2024 23:00:00;07-06-2024 00:00:00;0,102;KWH;Målt;Tidsserie
07-06-2024 00:00:00;07-06-2024 01:00:00;0,13;KWH;Målt;Tidsserie
07-06-2024 01:00:00;07-06-2024 02:00:00;0,086;KWH;Målt;Tidsserie
07-06-2024 02:00:00;07-06-2024 03:00:00;0,091;KWH;Målt;Tidsserie
07-06-2024 03:00:00;07-06-2024 04:00:00;0,514;KWH;Målt;Tidsserie
07-06-2024 04:00:00;07-06-2024 05:00:00;0,565;KWH;Målt;Tidsserie
07-06-2024 05:00:00;07-06-2024 06:00:00;0,092;KWH;Målt;Tidsserie
07-06-2024 06:00:00;07-06-2024 07:00:00;0,168;KWH;Målt;Tidsserie
07-06-2024 07:00:00;07-06-2024 08:00:00;1,327;KWH;Målt;Tidsserie
07-06-2024 08:00:00;07-06-2024 09:00:00;2,505;KWH;Målt;Tidsserie
07-06-2024 09:00:00;07-06-2024 10:00:00;1,804;KWH;Målt;Tidsserie
07-06-2024 10:00:00;07-06-2024 11:00:00;0,575;KWH;Målt;Tidsserie
07-06-2024 11:00:00;07-06-2024 12:00:00;0,661;KWH;Målt;Tidsserie
